English Name,Japanese Name
10,000,000 Volt Thunderbolt,1000まんボルト
High Horsepower,10まんばりき
Triple Arrows,３ぼんのや
Darkest Lariat,ＤＤラリアット
Grav Apple,Ｇのちから
V-create,Ｖジェネレート
Iron Tail,アイアンテール
Iron Head,アイアンヘッド
Steel Roller,アイアンローラー
Ice Spinner,アイススピナー
Ice Hammer,アイスハンマー
Ice Ball,アイスボール
Blue Flare,あおいほのお
Aqua Cutter,アクアカッター
Aqua Jet,アクアジェット
Aqua Step,アクアステップ
Aqua Tail,アクアテール
Liquidation,アクアブレイク
Aqua Ring,アクアリング
Spacial Rend,あくうせつだん
Collision Course,アクセルブレイク
Accelerock,アクセルロック
Dark Pulse,あくのはどう
Yawn,あくび
Lovely Kiss,あくまのキッス
Nightmare,あくむ
Acrobatics,アクロバット
Morning Sun,あさのひざし
Gear Up,アシストギア
Stored Power,アシストパワー
Acid Downpour,アシッドポイズンデリート
Acid Spray,アシッドボム
Astral Barrage,アストラルビット
Vital Throw,あてみなげ
Thrash,あばれる
Head Charge,アフロブレイク
Sweet Scent,あまいかおり
Charm,あまえる
Armor Cannon,アーマーキャノン
Rain Dance,あまごい
Hammer Arm,アームハンマー
Ominous Wind,あやしいかぜ
Confuse Ray,あやしいひかり
Hail,あられ
Devastating Drake,アルティメットドラゴンバーン
Aromatherapy,アロマセラピー
Aromatic Mist,アロマミスト
Bubble,あわ
Anchor Shot,アンカーショット
Wicked Blow,あんこくきょうだ
Encore,アンコール
Rage Powder,いかりのこな
Super Fang,いかりのまえば
Bouncy Bubble,いきいきバブル
Hyperspace Hole,いじげんホール
Hyperspace Fury,いじげんラッシュ
Torment,いちゃもん
Order Up,いっちょうあがり
Freezing Glare,いてつくしせん
String Shot,いとをはく
Electro Drift,イナズマドライブ
Relic Song,いにしえのうた
Final Gambit,いのちがけ
Life Dew,いのちのしずく
Swagger,いばる
Snore,いびき
Heal Bell,いやしのすず
Healing Wish,いやしのねがい
Heal Pulse,いやしのはどう
Screech,いやなおと
Rock Throw,いわおとし
Rock Smash,いわくだき
Rock Slide,いわなだれ
Close Combat,インファイト
Weather Ball,ウェザーボール
Wave Crash,ウェーブタックル
Whirlpool,うずしお
Fake Tears,うそなき
Sing,うたう
Sparkling Aria,うたかたのアリア
Smack Down,うちおとす
Doodle,うつしえ
Wood Hammer,ウッドハンマー
Horn Leech,ウッドホーン
Lash Out,うっぷんばらし
Spite,うらみ
Bitter Malice,うらみつらみ
Breakneck Blitz,ウルトラダッシュアタック
Air Cutter,エアカッター
Air Slash,エアスラッシュ
Aeroblast,エアロブラスト
Echoed Voice,エコーボイス
Branch Poke,えだづき
Energy Ball,エナジーボール
Fishious Rend,エラがみ
Electroweb,エレキネット
Electric Terrain,エレキフィールド
Electro Ball,エレキボール
Electro Shot,エレクトロビーム
Smokescreen,えんまく
Pursuit,おいうち
Tailwind,おいかぜ
Celebrate,おいわい
Double Slap,おうふくビンタ
Mirror Move,オウムがえし
Tidy Up,おかたづけ
Memento,おきみやげ
Octazooka,オクタンほう
After You,おさきにどうぞ
Punishment,おしおき
Chatter,おしゃべり
Noble Roar,おたけび
Flatter,おだてる
Teatime,おちゃかい
Astonish,おどろかす
Will-O-Wisp,おにび
Last Respects,おはかまいり
Overdrive,オーバードライブ
Overheat,オーバーヒート
Lucky Chant,おまじない
Esper Wing,オーラウイング
Aura Wheel,オーラぐるま
Genesis Supernova,オリジンズスーパーノヴァ
Aurora Beam,オーロラビーム
Aurora Veil,オーロラベール
Return,おんがえし
Grudge,おんねん
Eerie Impulse,かいでんぱ
Heal Order,かいふくしれい
Heal Block,かいふくふうじ
Strength,かいりき
Counter,カウンター
Flame Wheel,かえんぐるま
Searing Shot,かえんだん
Burning Bulwark,かえんのまもり
Flamethrower,かえんほうしゃ
Pyro Ball,かえんボール
Axe Kick,かかとおとし
Odor Sleuth,かぎわける
Sharpen,かくばる
Shadow Sneak,かげうち
Spirit Shackle,かげぬい
Double Team,かげぶんしん
Gust,かぜおこし
Retaliate,かたきうち
Ruination,カタストロフィ
Guardian of Alola,ガーディアン・オブ・アローラ
Guard Split,ガードシェア
Guard Swap,ガードスワップ
Disable,かなしばり
Pollen Puff,かふんだんご
Razor Wind,かまいたち
Bide,がまん
Crunch,かみくだく
Bite,かみつく
Thunder,かみなり
Wildbolt Storm,かみなりあらし
Thunder Fang,かみなりのキバ
Thunder Punch,かみなりパンチ
Endeavor,がむしゃら
Facade,からげんき
Karate Chop,からてチョップ
Clamp,からではさむ
Withdraw,からにこもる
Constrict,からみつく
Shell Smash,からをやぶる
Dragon Ascent,ガリョウテンセイ
Brick Break,かわらわり
Stone Axe,がんせきアックス
Rock Tomb,がんせきふうじ
Rock Wrecker,がんせきほう
Focus Blast,きあいだま
Focus Energy,きあいだめ
Focus Punch,きあいパンチ
Gear Grind,ギアソーサー
Shift Gear,ギアチェンジ
Giga Impact,ギガインパクト
Giga Drain,ギガドレイン
Reversal,きしかいせい
Swelling Salvo,きずなのアリア
Spore,キノコのほうし
Bestow,ギフトパス
Fickle Beam,きまぐレーザー
Leech Life,きゅうけつ
Glaive Rush,きょけんとつげき
Behemoth Blade,きょじゅうざん
Behemoth Bash,きょじゅうだん
G-Max One Blow,キョダイイチゲキ
G-Max Fireball,キョダイカキュウ
G-Max Stonesurge,キョダイガンジン
G-Max Stun Shock,キョダイカンデン
G-Max Sweetness,キョダイカンロ
G-Max Terror,キョダイゲンエイ
G-Max Depletion,キョダイゲンスイ
G-Max Steelsurge,キョダイコウジン
G-Max Wildfire,キョダイゴクエン
G-Max Gold Rush,キョダイコバン
G-Max Drum Solo,キョダイコランダ
G-Max Befuddle,キョダイコワダチ
G-Max Replenish,キョダイサイセイ
G-Max Sandblast,キョダイサジン
G-Max Tartness,キョダイサンゲキ
G-Max Malodor,キョダイシュウキ
G-Max Chi Strike,キョダイシンゲキ
G-Max Snooze,キョダイスイマ
G-Max Resonance,キョダイセンリツ
G-Max Hydrosnipe,キョダイソゲキ
G-Max Finale,キョダイダンエン
G-Max Gravitas,キョダイテンバツ
G-Max Smite,キョダイテンmetsu
G-Max Volt Crash,キョダイバンライ
G-Max Centiferno,キョダイヒャッカ
G-Max Wind Rage,キョダイフウゲキ
G-Max Vocalith,キョダイフンセキ
G-Max Vine Lash,キョダイベンタツ
G-Max Cannonade,キョダイホウゲキ
G-Max Foam Burst,キョダイホウマツ
G-Max Cuddle,キョダイホーヨー
G-Max Meltdown,キョダイユウゲキ
G-Max Rapid Flow,キョダイレンゲキ
Sparkly Swirl,キラキラしたあらし
Mortal Spin,キラースピン
Slash,きりさく
Defog,きりばらい
Trump Card,きりふだ
Silver Wind,ぎんいろのかぜ
King's Shield,キングシールド
Metal Sound,きんぞくおん
Flip Turn,クイックターン
Grass Pledge,くさのちかい
Grass Whistle,くさぶえ
Grass Knot,くさむすび
Blaze,くさわけ
Tickle,くすぐる
Beak Blast,くちばしキャノン
Spider Web,クモのす
Jaw Lock,くらいつく
Grassy Glide,グラススライダー
Grassy Terrain,グラスフィールド
Leaf Tornado,グラスミキサー
Land's Wrath,グランドフォース
Clear Smog,クリアスモッグ
Haze,くろいきり
Mean Look,くろいまなざし
Power-Up Punch,グロウパンチ
Fusion Bolt,クロスサンダー
Cross Chop,クロスチョップ
Fusion Flare,クロスフレイム
Cross Poison,クロスポイズン
Chloroblast,クロロブラスト
Outrage,げきりん
Low Kick,けたぐり
Belch,ゲップ
Ancient Power,げんしのちから
Core Enforcer,コアパニッシャー
Attack Order,こうげきしれい
Synthesis,こうごうせい
Agility,こうそくいどう
Rapid Spin,こうそくスピン
Frost Breath,こおりのいぶき
Ice Fang,こおりのキバ
